bench,ASTR-time (ms),ASTR-calls,ASTR-error,SPF-error,Z3-time (ms),Z3-calls,Z3-error,spf-z3-cputime (s),spf-z3-walltime (s),z3-status,spf-astr-cputime (s),spf-astr-walltime (s),astr-status
TaintMethodAdapter,0,1,1,0,31,3,0,1.67,0.73,unknown,1.73,0.73,unknown
TestLimitQuery,44258,93,0,0,3939,16,0,60.42,59.72,TIMEOUT,60.04,45.46,TIMEOUT
TestTagProjection,0,1,1,0,6667,724,0,11.94,8.91,true,1.74,0.75,unknown
TokenMgrError,0,1,1,0,346,38,1,2.44,1.18,unknown,1.81,0.78,unknown
TokenMgrError_1,0,1,1,0,366,38,1,2.43,1.21,unknown,1.88,0.78,unknown
TokenMgrError_2,0,1,1,0,387,38,1,2.64,1.27,unknown,1.74,0.75,unknown
TokenMgrError_3,0,1,1,0,375,38,1,2.58,1.23,unknown,1.79,0.78,unknown
TokenMgrError_4,0,1,1,0,380,43,1,2.44,1.21,unknown,1.62,0.71,unknown
TokenMgrError_5,0,1,1,0,498,43,1,2.84,1.39,unknown,1.81,0.78,unknown
Tooltip,22,1,0,0,25,1,0,1.64,0.69,unknown,1.71,0.76,unknown
TreeCollinizer,0,1,1,0,0,1,1,1.67,0.74,unknown,1.69,0.73,unknown
TriggeredWarp,0,1,1,0,62,4,0,1.82,0.76,true,1.64,0.72,unknown
TrueTypeFontUnicode,17,1,1,0,28,1,1,1.7,0.73,unknown,1.94,0.77,unknown
TtmlNode,24,3,1,0,20351,2520,0,31.54,27.78,true,1.96,0.8,unknown
TtmlNode_1,23,3,1,0,21629,2520,0,33.14,29.34,true,1.91,0.8,unknown
URLUTF8Encoder,0,1,2,0,0,1,1,1.6,0.72,unknown,1.75,0.75,unknown
UnvalidatedForwardsLessonIT,44229,409,0,0,159,16,0,60.45,59.44,TIMEOUT,60.45,46.31,TIMEOUT
UploaderProgressBar,50,1,0,1,26,1,0,1.53,0.68,unknown,1.68,0.73,unknown
UriUtil,0,1,1,0,58,4,0,1.96,0.85,unknown,1.97,0.84,unknown
UriUtil_1,0,1,1,0,51,4,0,2.01,0.86,unknown,1.91,0.83,unknown
UriUtil_2,0,1,1,0,46,4,0,2.11,0.88,unknown,1.91,0.8,unknown
UrlBuilder,22,3,1,0,60,5,0,2.02,0.79,unknown,2.06,0.83,unknown
UrlInfo,0,1,1,0,0,1,1,1.7,0.73,unknown,1.75,0.74,unknown
UrlInfo_1,0,1,1,0,0,1,1,1.68,0.72,unknown,1.56,0.69,unknown
UrlUtils,89,3,0,1,52,3,0,1.64,0.71,unknown,1.99,0.81,unknown
UrlUtils_2,25,3,1,0,2856,178,0,5.87,4.25,true,1.75,0.75,unknown
UtilLocation,0,1,1,0,0,1,1,1.7,0.72,unknown,1.79,0.77,unknown
V09Support,0,1,1,0,0,1,1,1.68,0.71,unknown,1.68,0.71,unknown
VelocityTool,0,1,0,1,59,4,0,1.94,0.82,unknown,1.76,0.74,unknown
VersionComparator,19,2,1,0,40,2,1,1.6,0.68,unknown,1.75,0.76,unknown
VersionParser,54,2,1,0,53,4,0,1.66,0.73,true,1.92,0.8,unknown
ViewMetaParser,541,60,1,0,54568,881,0,60.63,57.55,TIMEOUT,4.57,1.63,unknown
WebDAV,29,3,0,0,45,3,0,1.69,0.72,false,1.97,0.8,false
WebappProperty,41,7,1,0,35,3,0,1.77,0.75,unknown,1.92,0.8,unknown
Wenku8Parser,0,1,1,0,229,12,0,2.35,1.06,true,1.74,0.72,unknown
XRYKeyValuePair,0,1,0,0,0,1,1,1.58,0.68,unknown,1.63,0.69,unknown
XssFilter,31,2,1,0,28,2,1,1.68,0.71,unknown,1.73,0.74,unknown
XssLessonIT,43954,178,0,0,133,12,0,60.45,59.46,TIMEOUT,60.31,45.5,TIMEOUT
YamlFrontMatterBlockParser,34,6,1,0,30,2,1,1.71,0.73,unknown,1.77,0.76,unknown
YarnUtils,38,4,1,0,86,5,1,1.79,0.78,unknown,1.79,0.75,unknown
Z85,0,1,0,1,0,1,0,2.92,1.96,unknown,2.96,1.99,unknown
ZProxy,0,1,1,0,22110,2847,0,61.88,54.78,TIMEOUT,1.85,0.78,unknown
ZkInstanceListenable,18,1,1,0,27,1,1,1.56,0.69,unknown,1.62,0.69,unknown
ZkSender,27,3,1,0,59,4,0,1.62,0.7,true,1.7,0.71,unknown
ZooKeeperDynamicConfigService,0,1,0,1,0,1,1,1.54,0.67,unknown,1.66,0.71,unknown
poorAuth2_Main,20,2,1,0,48,3,0,1.67,0.71,false,1.62,0.71,unknown
