bench,Z3-time (ms),Z3-calls,Z3-error,ASTR-time (ms),ASTR-calls,ASTR-error,SPF-error,spf-z3-cputime (s),spf-z3-walltime (s),z3-status,spf-astr-cputime (s),spf-astr-walltime (s),astr-status,astr-log,z3-log,benchmark
ResourcesExtractor,41,2,0,21,2,0,0,1.66,0.72,false,1.71,0.71,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ResourcesExtractor.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ResourcesExtractor.yml.log,sv-benchmarks/java/argv/freemarker/freemarker-test-utils.src.main.java.freemarker.test/ResourcesExtractor/Main.java
RocketMqProhibitionTest,17588,1885,0,1561,1485,0,0,60.88,54.41,TIMEOUT,30.84,14.22,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.RocketMqProhibitionTest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.RocketMqProhibitionTest.yml.log,sv-benchmarks/java/argv/Sermant/sermant-integration-tests.mq-consume-prohibition-test.mq-consume-prohibition-integration-test.src.test.java.io.sermant.mq.prohibition.integration.rocketmq/RocketMqProhibitionTest/Main.java
Samba,33,2,0,25,2,0,0,1.64,0.69,unknown,1.8,0.75,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Samba.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Samba.yml.log,sv-benchmarks/java/argv/CatVodSpider/app.src.main.java.com.github.catvod.spider/Samba/Main.java
ScoreboardStatus,73,6,0,122,6,0,0,1.73,0.73,false,2.13,0.83,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ScoreboardStatus.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ScoreboardStatus.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.main.java.utils/ScoreboardStatus/Main.java
ScriptPidUtilsTest,68,6,0,266,6,0,0,1.88,0.76,true,2.74,1.1,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ScriptPidUtilsTest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ScriptPidUtilsTest.yml.log,sv-benchmarks/java/argv/Saturn/saturn-core.src.test.java.com.vip.saturn.job.utils/ScriptPidUtilsTest/Main.java
SecurityMisconfigLessonIT,2810,28,0,21240,376,0,0,60.46,59.45,TIMEOUT,35.05,23.13,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.SecurityMisconfigLessonIT.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.SecurityMisconfigLessonIT.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.it.java.servlets.module.lesson/SecurityMisconfigLessonIT/Main.java
ShareOpenActivity,98,6,0,64,6,0,0,1.72,0.74,true,1.9,0.79,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ShareOpenActivity.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ShareOpenActivity.yml.log,sv-benchmarks/java/argv/Kore/app.src.main.java.org.xbmc.kore/ShareOpenActivity/Main.java
ShiftReduceUtils,321,34,0,25,3,0,0,2.18,1.1,true,1.76,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ShiftReduceUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ShiftReduceUtils.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.parser.shiftreduce/ShiftReduceUtils/Main.java
SikuliIDEPopUpMenu,67,5,0,53,5,0,0,1.84,0.77,false,1.92,0.78,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.SikuliIDEPopUpMenu.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.SikuliIDEPopUpMenu.yml.log,sv-benchmarks/java/argv/SikuliX1/IDE.src.main.java.org.sikuli.ide/SikuliIDEPopUpMenu/Main.java
SpringBootVFS,36,2,0,20,2,0,0,1.61,0.68,true,1.73,0.74,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.SpringBootVFS.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.SpringBootVFS.yml.log,sv-benchmarks/java/argv/Mapper/spring-boot-starter.mapper-spring-boot-autoconfigure.src.main.java.tk.mybatis.mapper.autoconfigure/SpringBootVFS/Main.java
SqlInjectionLessonIT,1093,15,0,24692,472,0,0,60.44,59.61,TIMEOUT,40.25,26.87,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.SqlInjectionLessonIT.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.SqlInjectionLessonIT.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.it.java.servlets.module.lesson/SqlInjectionLessonIT/Main.java
TagRouterTest,934,118,0,454,118,0,0,4.28,1.97,true,5.16,1.76,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.TagRouterTest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.TagRouterTest.yml.log,sv-benchmarks/java/argv/Sermant/sermant-integration-tests.spring-test.spring-integration-test.src.test.java.io.sermant.integration.router/TagRouterTest/Main.java
TestLimitQuery,3939,16,0,44258,93,0,0,60.42,59.72,TIMEOUT,60.04,45.46,TIMEOUT,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.TestLimitQuery.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.TestLimitQuery.yml.log,sv-benchmarks/java/argv/ebean/ebean-test.src.test.java.org.tests.basic/TestLimitQuery/Main.java
Tooltip,25,1,0,22,1,0,0,1.64,0.69,unknown,1.71,0.76,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Tooltip.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Tooltip.yml.log,sv-benchmarks/java/argv/delverengine/core.src.main.java.com.interrupt.dungeoneer.ui/Tooltip/Main.java
UnvalidatedForwardsLessonIT,159,16,0,44229,409,0,0,60.45,59.44,TIMEOUT,60.45,46.31,TIMEOUT,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.UnvalidatedForwardsLessonIT.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.UnvalidatedForwardsLessonIT.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.it.java.servlets.module.lesson/UnvalidatedForwardsLessonIT/Main.java
WebDAV,45,3,0,29,3,0,0,1.69,0.72,false,1.97,0.8,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.WebDAV.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.WebDAV.yml.log,sv-benchmarks/java/argv/CatVodSpider/app.src.main.java.com.github.catvod.spider/WebDAV/Main.java
XRYKeyValuePair,0,1,1,0,1,0,0,1.58,0.68,unknown,1.63,0.69,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.XRYKeyValuePair.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.XRYKeyValuePair.yml.log,sv-benchmarks/java/argv/autopsy/Core.src.org.sleuthkit.autopsy.datasourceprocessors.xry/XRYKeyValuePair/Main.java
XssLessonIT,133,12,0,43954,178,0,0,60.45,59.46,TIMEOUT,60.31,45.5,TIMEOUT,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.XssLessonIT.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.XssLessonIT.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.it.java.servlets.module.lesson/XssLessonIT/Main.java
BooleanFormatter,365,11,0,402,11,0,0,3.69,2.42,false,3.27,1.21,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BooleanFormatter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BooleanFormatter.yml.log,sv-benchmarks/java/argv/alero/java-simple-utils.java-simple-utils-master.simple-java-utils.i18n.src.main.java.org.hrodberaht.i18n.formatter/BooleanFormatter/Main.java
ClassOverride,28500,3,0,31,3,0,0,24.1,39.07,unknown,1.84,0.78,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ClassOverride.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ClassOverride.yml.log,sv-benchmarks/java/argv/MikeLydeamore/CoFHCore.CoFHCore-master.src.main.java.cofh.asm/ClassOverride/Main.java
ControlUnit,3096,156,0,156,1225,0,0,7.24,5.18,true,9.45,2.99,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ControlUnit.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ControlUnit.yml.log,sv-benchmarks/java/argv/lydiaSidhom/ca-us.ca-us-master.Engine/ControlUnit/Main.java
CurrentWeather,627,20,0,289,20,0,0,5.81,3.5,true,3.82,1.32,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CurrentWeather.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CurrentWeather.yml.log,sv-benchmarks/java/argv/Superjisan/Stormy.Stormy-master.app.src.main.java.superjisan.com.stormy/CurrentWeather/Main.java
Forecast,456,20,0,311,20,0,0,3.89,2.15,true,2.95,1.12,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Forecast.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Forecast.yml.log,sv-benchmarks/java/argv/jogold9/WeatherBuddy.WeatherBuddy-master.app.src.main.java.com.joshbgold.WeatherBuddy/Forecast/Main.java
HMAC,83,2,0,20,2,0,0,3.04,1.84,unknown,2.13,0.89,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.HMAC.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.HMAC.yml.log,sv-benchmarks/java/argv/loosebruce/hmac_base64.java.hmac_base64.java-master.src.main.java.helper/HMAC/Main.java
HistoryDatManager,102,3,1,13402,11,0,0,3.14,2.02,unknown,23.02,14.19,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.HistoryDatManager.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.HistoryDatManager.yml.log,sv-benchmarks/java/argv/konaboy32/feelingluckylauncher.feelingluckylauncher-master.src/HistoryDatManager/Main.java
Init,28,1,0,22,1,0,0,1.92,0.8,unknown,1.95,0.85,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Init.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Init.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.BuildApril14th.Program_Files.edu.unl.cse/Init/Main.java
InitMIFWIN,61,3,0,22,3,0,0,2.0,0.8,false,2.2,0.92,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.InitMIFWIN.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.InitMIFWIN.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.BuildApril14th.Program_Files.edu.unl.cse/InitMIFWIN/Main.java
InitMIFWIN_1,51,3,0,26,3,0,0,1.99,0.8,false,2.18,0.97,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.InitMIFWIN_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.InitMIFWIN_1.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.Program_Files.com.unl.cse/InitMIFWIN_1/Main.java
InitMIF_1,65,3,0,20,3,0,0,2.01,0.83,false,2.09,0.85,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.InitMIF_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.InitMIF_1.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.BuildApril14th.Program_Files.edu.unl.cse/InitMIF_1/Main.java
InitMIF_4,49,3,0,22,3,0,0,2.02,0.81,false,2.34,0.95,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.InitMIF_4.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.InitMIF_4.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.Program_Files.com.unl.cse/InitMIF_4/Main.java
InitS230WIN,29,1,0,20,1,0,0,1.99,0.79,unknown,2.19,0.94,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.InitS230WIN.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.InitS230WIN.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.BuildApril14th.Program_Files.edu.unl.cse/InitS230WIN/Main.java
InitS230WIN_1,33,1,0,32,1,0,0,1.91,0.8,unknown,2.27,0.92,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.InitS230WIN_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.InitS230WIN_1.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.Program_Files.com.unl.cse/InitS230WIN_1/Main.java
InitS230_1,31,1,0,17,1,0,0,2.06,0.82,unknown,2.2,0.88,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.InitS230_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.InitS230_1.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.BuildApril14th.Program_Files.edu.unl.cse/InitS230_1/Main.java
InitS230_4,29,1,0,24,1,0,0,1.99,0.8,unknown,2.36,0.97,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.InitS230_4.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.InitS230_4.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.Program_Files.com.unl.cse/InitS230_4/Main.java
Init_1,31,1,0,22,1,0,0,1.91,0.78,unknown,2.21,0.96,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Init_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Init_1.yml.log,sv-benchmarks/java/argv/mathewreny/ARM230Compiler.ARM230Compiler-master.Program_Files.com.unl.cse/Init_1/Main.java
JalgorInterpreter,184,2,0,36,2,0,0,3.42,2.11,false,2.27,0.92,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.JalgorInterpreter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.JalgorInterpreter.yml.log,sv-benchmarks/java/argv/ebratini/jalgor.jalgor-master.Jalgor.src.org.uasd.jalgor.business/JalgorInterpreter/Main.java
NoteHandler,144,10,0,184,10,0,0,2.17,0.9,true,2.65,1.07,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.NoteHandler.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.NoteHandler.yml.log,sv-benchmarks/java/argv/rmayr/privatenotes-tomdroid.privatenotes-tomdroid-master.src.org.privatenotes.sync.sd/NoteHandler/Main.java
PayHelper,159,8,0,55,8,0,0,2.02,0.87,true,2.22,0.86,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PayHelper.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PayHelper.yml.log,sv-benchmarks/java/argv/shawnxiaogit/QS_SDK.QS_SDK-master.qspayhelper.src.com.qunsuan.qspayhelper/PayHelper/Main.java
Person,157,2,0,26,2,0,0,3.33,2.52,unknown,2.29,0.96,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Person.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Person.yml.log,sv-benchmarks/java/argv/cswatt/advanced-db.advanced-db-master.src.entities/Person/Main.java
ResumoActivity,318,36,0,131,36,0,0,2.37,1.07,true,2.81,1.07,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ResumoActivity.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ResumoActivity.yml.log,sv-benchmarks/java/argv/raphapacheco/FinFacil.FinFacil-android-studio-master.app.src.main.java.br.com.backapp.finfacil.activity/ResumoActivity/Main.java
SmsService,386,1,0,19,1,0,0,4.25,5.38,unknown,1.89,0.8,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.SmsService.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.SmsService.yml.log,sv-benchmarks/java/argv/GugleGH/sms-bank-listener.sms-bank-listener-master.SmsBankListener.src.ru.nosov.SMSreader.services/SmsService/Main.java
TeleopController,1024,42,0,95,64,0,0,5.19,3.45,true,2.6,1.0,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.TeleopController.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.TeleopController.yml.log,sv-benchmarks/java/argv/FRC-Team-399-EagleRobotics/FRC0399-Code-2012.FRC0399-Code-2012-master.X-1_Old.frc399-2012-robot-END_of_Denver.src.org.team399.y2012.controllers/TeleopController/Main.java
TransaksiMataKuliah,214,8,0,32,8,0,0,3.18,1.79,true,2.23,0.93,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.TransaksiMataKuliah.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.TransaksiMataKuliah.yml.log,sv-benchmarks/java/argv/endangh/kplbo.kplbo-master.kplbo.src.test2/TransaksiMataKuliah/Main.java
Tuomari,6826,324,0,244,108,0,0,11.63,9.09,true,3.71,1.28,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Tuomari.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Tuomari.yml.log,sv-benchmarks/java/argv/jelmnainen/ohtu-laskarit.ohtu-laskarit-master.viikko7.KiviPaperiSakset.KiviPaperiSakset.src.main.java.ohtu.kivipaperisakset.peli/Tuomari/Main.java
URIResolverImpl,90,6,0,177,6,0,0,1.92,0.81,true,2.78,1.15,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.URIResolverImpl.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.URIResolverImpl.yml.log,sv-benchmarks/java/argv/rhizomik/redefer-rdf2html.redefer-rdf2html-master.src.main.java.net.rhizomik.redefer.util/URIResolverImpl/Main.java
Utils_4,241,6,0,31,6,0,0,3.61,2.3,true,2.06,0.88,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Utils_4.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Utils_4.yml.log,sv-benchmarks/java/argv/contentful/gallery-app-android.gallery-app-android-master.app.src.main.java.gallery.templates.contentful.lib/Utils_4/Main.java
WundergroundReqest,248,24,0,339,24,0,0,2.2,0.97,true,3.27,1.22,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.WundergroundReqest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.WundergroundReqest.yml.log,sv-benchmarks/java/argv/senft/smplWeather.smplWeather-master.src.de.senft.smplweather.request/WundergroundReqest/Main.java
Zipper,182,1,0,20,1,0,0,4.08,3.34,unknown,1.61,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Zipper.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Zipper.yml.log,sv-benchmarks/java/argv/KSUploader/KSUploader-client.client-legacy-master.src.it.ksuploader.utils/Zipper/Main.java
